source,source_key,tde_id,name,aliases,ra_deg,dec_deg,redshift,discovery_mjd,peak_mjd_ref,discovery_survey,class_label,confidence,host_name,log_mbh,notes,mag_value,mag_band,mag_basis,include_flag
otter,6576002,at2022cmc,AT 2022cmc,AT 2022cmc;ZTF22aaajecp,203.68002916666663,33.216816666666666,1.19325,59621.445999999996,,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry (2022Natur.612..430A); mag_value=19.080; mag_band=r',19.08,r',OTTER optical photometry (2022Natur.612..430A),False
otter,6576008,at2019meg,AT 2019meg,AT 2019meg;ZTF19abhhjcc;Gaia19dhd,281.317497,44.438606,0.152,58692.72199074074,58696.39349999996,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576018,at2023mfm,AT 2023mfm,AT 2023mfm;PS23fqo;ZTF23aapyidj,324.366491,-4.345282,0.087,60123.399,60151.95833333331,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576020,at2021gje,AT 2021gje,AT 2021gje;ZTF21aapvvtb;ATLAS21kpm,252.5305188,34.8188083,0.358,59291.489282395836,59305.958333333336,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576022,d19,D1-9,D1-9;GALEX-D1-9,36.3207079589067,-4.54975942524,0.326,53178.0,53232.652000000024,optical,tde,secure,WISEA J022517.01-043259.1,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576032,at2020ocn,AT 2020ocn,AT 2020ocn;ZTF18aakelin,208.474171123,53.997147482,0.0705,58968.0,58986.40042824074,optical,tde,secure,SDSS J135353.80+535949.7,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576034,at2019cmw,AT 2019cmw,AT 2019cmw;ZTF19aaniqrr;PS19cws;ATLAS19kel,282.164495,51.013537,0.5167,58567.51133101852,58581.89299999999,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576036,wtp15acbgpn,WTP15acbgpn,WTP15acbgpn,166.258054,59.684626,0.03369,,,ir,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576073,at2021yzv,AT 2021yzv,AT 2021yzv;ZTF21abxngcz,105.2775159,40.8251553,0.286,59442.501,59479.9583333333,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576075,at2018lna,AT 2018lna,AT 2018lna;ZTF19aabbnzo,105.827704,23.029083,0.091,58480.28498842593,58508.455,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576081,j100933,J100933,J100933,152.3880833333333,23.382166666666667,0.0719,54882.0,,optical,tde,secure,SDSS J100933.14+232255.8,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575877,cnssj0019_00,CNSS J0019+00,CNSS J0019+00,4.947229324999999,0.5907806111111111,0.018,57102.0,,radio,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576115,wtp15acbuuv,WTP15acbuuv,WTP15acbuuv,154.672586,-13.001884,0.03059,,,ir,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576117,wtp16aaqrcr,WTP16aaqrcr,WTP16aaqrcr,280.829573,-62.112048,0.01509,,,ir,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576238,wtp17aalzpx,WTP17aalzpx,WTP17aalzpx,50.856858,-2.046782,0.03725,,,ir,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575905,wtp14adbjsh,WTP14adbjsh,WTP14adbjsh,342.953459,-20.608018,0.0106,,,ir,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575945,wtp14adeqka,WTP14adeqka,WTP14adeqka,297.353597,63.509271,0.01895,,,ir,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575963,wtp14acnjbu,WTP14acnjbu,WTP14acnjbu,264.328943,19.292112,0.026,,,ir,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576046,wtp18aajkmk,WTP18aajkmk,WTP18aajkmk,40.099143,-2.728314,0.0287,,,ir,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576065,wtp15abymdq,WTP15abymdq,WTP15abymdq,57.219702,-55.426525,0.03742,,,ir,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576077,wtp17aamoxe,WTP17aamoxe,WTP17aamoxe,317.242691,-56.475355,0.042,,,ir,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
