event,field,program,star_id,classification,ef_classification,al_classification,ra,dec,ra_deg,dec_deg,t_0,t_eff,t_e,u_0,isource,ibase,icat,ctype,a_i,ogle_moa,related_event,extra_type
KMT-2024-BLG-2422,SSO42K0603,,002526,,clear,clear,17:50:53.20,-28:48:01.22,267.7216666667,-28.8003388889,60561.75485,,41.13,0.06,19.91,17.64,17.64,4.0,4.63,,OB241118,
KMT-2024-BLG-2423,SSO42M0602,,033772,,clear,clear,17:55:49.12,-28:56:35.16,268.9546666667,-28.9431,60555.80078,,10.89,0.1,21.26,19.16,19.16,2.0,1.87,,OB241163,
KMT-2024-BLG-2424,SAO42N0706,,103428,,X,probable,17:55:15.90,-29:31:53.00,268.81625,-29.5313888889,60574.7234,,28.85,1.0,19.05,20.0,20.32,1.0,1.29,,,
KMT-2024-BLG-2425,SAO42T0103,,050534,,X,not-ulens,17:53:43.06,-29:53:25.19,268.4294166667,-29.8903305556,60554.93014,,6.03,0.078,21.58,19.12,19.12,1.0,1.41,,,
KMT-2024-BLG-2426,SSO43T0301,,081466,,clear,clear,18:00:14.18,-29:07:05.70,270.0590833333,-29.11825,60553.65375,,28.65,0.026,22.67,19.63,19.63,1.0,1.05,,,
KMT-2024-BLG-2427,SSO01K0505,,034654,,clear,clear,17:51:27.13,-30:28:56.50,267.8630416667,-30.4823611111,60562.8731,,32.48,0.241,20.05,19.98,19.98,1.0,3.01,,,
KMT-2024-BLG-2428,BLG02K0507,,039448,,clear,clear,17:51:41.95,-28:12:31.32,267.9247916667,-28.2087,60555.27079,,1.09,0.146,19.83,20.0,21.81,2.0,4.18,,,
KMT-2024-BLG-2429,BLG02N0604,,047248,,clear,clear,17:55:58.17,-29:42:01.19,268.992375,-29.7003305556,60574.60291,,43.16,0.209,20.72,19.01,19.01,1.0,1.5,,OB241197,
KMT-2024-BLG-2430,SAO03K0206,,006166,,clear,clear,18:00:56.60,-27:07:57.00,270.2358333333,-27.1325,60567.42742,,33.86,0.999,18.4,17.28,17.28,1.0,2.13,,OB241202,
KMT-2024-BLG-2431,BLG03T0107,,088632,,X,clear,18:01:40.91,-28:11:34.40,270.4204583333,-28.1928888889,60557.18916,,169.03,0.033,23.26,20.0,21.52,2.0,1.42,,,
KMT-2024-BLG-2432,BLG03T0805,,049539,,X,clear,17:57:32.89,-28:25:14.48,269.3870416667,-28.4206888889,60552.11549,,4.49,0.743,19.36,19.32,19.32,1.0,1.68,,,
KMT-2024-BLG-2433,BLG04K0607,,045737,,clear,clear,18:00:18.55,-29:10:24.82,270.0772916667,-29.1735611111,60575.49859,,48.36,0.24,19.96,19.03,19.03,1.0,1.07,,,
KMT-2024-BLG-2434,BLG04N0407,,060990,,clear,clear,18:06:49.05,-30:19:47.60,271.704375,-30.3298888889,60556.117,,27.5,0.062,22.05,20.0,20.07,1.0,0.85,,,
KMT-2024-BLG-2435,BLG11T0101,,055952,,X,clear,17:27:21.58,-30:58:12.76,261.8399166667,-30.9702111111,60553.77999,,5.77,0.6,19.98,20.0,22.32,2.0,3.97,,,
KMT-2024-BLG-2436,BLG14T0703,,015733,,X,probable,17:33:00.44,-29:38:22.49,263.2518333333,-29.6395805556,60553.13237,,139.38,0.025,21.47,19.98,19.98,3.0,2.86,,,
KMT-2024-BLG-2437,BLG18T0803,,080046,,clear,clear,17:41:46.47,-27:28:22.01,265.443625,-27.4727805556,60555.051,,99.67,0.013,24.28,20.0,21.7,2.0,3.31,,,
KMT-2024-BLG-2438,BLG19M0602,,106966,,clear,clear,17:47:39.39,-24:23:10.00,266.914125,-24.3861111111,60557.04726,,24.87,0.031,22.75,20.0,25.0,3.0,2.3,,,
