event,field,star_no,ra_j2000,ra_deg,dec_j2000,dec_deg,tmax_hjd,tmax_ut,tau,umin,amax,dmag,fbl,ibl,i0
2023-BLG-0699,BLG638.02,40949,17:52:18.14,268.07558333,-23:16:53.8,-23.28161111,2460182.937,2023-08-26.44,79.467,1.17,1.243,0.236,1.0,16.663,16.663
2023-BLG-0700,BLG653.09,39174,17:37:45.95,264.44145833,-28:44:31.5,-28.74208333,2460118.614,2023-06-23.11,40.181,0.615,1.849,0.667,1.0,19.475,19.475
2023-BLG-0701,BLG715.27,63721,17:36:20.12,264.08383333,-24:13:37.5,-24.22708333,2460110.744,2023-06-15.24,23.07,0.179,5.663,1.184,0.424,19.02,19.952
2023-BLG-0702,BLG909.15,8649,17:08:06.23,257.02595833,-34:16:23.4,-34.27316667,2460110.403,2023-06-14.90,17.136,0.073,13.783,2.676,0.842,18.234,18.421
2023-DG-0027,DG1010.28,14484,18:44:34.12,281.14216667,-4:49:33.3,-4.82591667,2460108.985,2023-06-13.48,59.372,0.953,1.377,0.348,1.0,18.226,18.226
2023-DG-0028,DG1011.05,18066,18:43:17.05,280.82104167,-7:04:35.6,-7.07655556,2460120.503,2023-06-25.00,60.098,0.562,1.984,0.744,1.0,18.855,18.855
2023-DG-0029,DG1020.15,63628,18:47:14.61,281.810875,-7:10:43.8,-7.17883333,2460108.641,2023-06-13.14,23.047,0.214,4.745,1.691,1.0,19.226,19.226
2023-BLG-0703,BLG500.27,85350,17:53:22.40,268.34333333,-28:10:35.4,-28.1765,2460133.714,2023-07-08.21,34.946,0.866,1.457,0.408,1.0,18.764,18.764
2023-BLG-0704,BLG506.12,115085,17:57:23.49,269.347875,-30:28:13.6,-30.47044444,2460107.709,2023-06-12.21,21.346,0.365,2.877,1.147,1.0,19.696,19.696
2023-BLG-0705,BLG507.09,15845,17:59:56.33,269.98470833,-31:51:41.0,-31.86138889,2460132.774,2023-07-07.27,42.493,0.008,121.765,4.766,0.659,18.631,19.083
2023-BLG-0706,BLG511.23,71529,18:01:28.22,270.36758333,-27:19:13.7,-27.32047222,2460117.256,2023-06-21.76,22.674,0.223,4.574,0.898,0.36,18.927,20.037
2023-BLG-0707,BLG518.01,100586,18:10:22.21,272.59254167,-27:13:53.0,-27.23138889,2460102.795,2023-06-07.29,23.811,0.139,7.258,2.152,1.0,20.25,20.25
2023-BLG-0708,BLG545.04,7772,18:14:07.12,273.52966667,-25:27:10.8,-25.453,2460102.376,2023-06-06.88,10.491,0.395,2.676,1.069,1.0,18.334,18.334
2023-BLG-0709,BLG580.01,30883,18:10:42.16,272.67566667,-25:54:34.3,-25.90952778,2460102.659,2023-06-07.16,12.076,0.254,4.035,1.360,0.824,18.352,18.563
2023-BLG-0710,BLG580.14,34280,18:07:15.90,271.81625,-25:36:17.9,-25.60497222,2460109.316,2023-06-13.82,20.777,0.963,1.370,0.341,1.0,18.269,18.269
2023-BLG-0711,BLG603.09,71535,17:48:10.37,267.04320833,-34:12:15.4,-34.20427778,2460111.794,2023-06-16.29,38.628,0.15,6.739,2.017,0.943,19.917,19.982
2023-BLG-0712,BLG603.10,67388,17:47:23.29,266.84704167,-34:13:48.6,-34.23016667,2460131.568,2023-07-06.07,30.236,1.606,1.112,0.115,1.0,15.645,15.645
2023-BLG-0713,BLG782.22,26349,18:18:41.69,274.67370833,-18:10:04.8,-18.168,2460108.865,2023-06-13.37,47.606,0.318,3.267,1.285,1.0,19.859,19.859
2023-BLG-0714,BLG512.06,17666,18:01:58.61,270.49420833,-29:08:05.3,-29.13480556,2460108.374,2023-06-12.87,3.832,0.5,2.184,0.848,1.0,19.163,19.163
2023-BLG-0715,BLG630.09,119117,17:47:15.98,266.81658333,-21:06:42.6,-21.11183333,2460118.819,2023-06-23.32,52.988,0.173,5.854,1.801,0.877,20.38,20.523
2023-BLG-0716,BLG661.29,39040,17:39:47.87,264.94945833,-33:11:29.3,-33.19147222,2460115.75,2023-06-20.25,28.776,0.121,8.335,2.302,1.0,19.733,19.733
2023-BLG-0717,BLG661.29,77867,17:40:01.97,265.00820833,-33:04:12.1,-33.07002778,2460120.799,2023-06-25.30,38.968,0.518,2.118,0.815,1.0,19.396,19.396
2023-BLG-0718,BLG675.27,3693,17:42:36.18,265.65075,-27:00:23.8,-27.00661111,2460110.81,2023-06-15.31,30.02,0.189,5.363,1.791,0.964,19.944,19.984
2023-BLG-0719,BLG505.18,156212,17:59:31.78,269.88241667,-29:01:02.3,-29.01730556,2460124.866,2023-06-29.37,25.413,0.531,2.076,0.526,0.58,18.566,19.158
2023-BLG-0720,BLG519.13,514,18:08:00.19,272.00079167,-28:17:48.6,-28.29683333,2460107.095,2023-06-11.60,30.852,0.762,1.583,0.499,1.0,18.492,18.492
2023-BLG-0721,BLG521.06,68125,18:07:23.28,271.847,-30:53:06.0,-30.885,2460083.321,2023-05-18.82,24.238,0.772,1.569,0.489,1.0,18.936,18.936
